Sampling Frequency,True Frequency,Num Periods,Frequency Calculated,Cents Error
48000,900,3,900.0211249253814,0.0406352898857561
48000,900,4,900.0619199370923,0.11910468441696083
48000,900,5,899.9948501553006,-0.009906235554207433
48000,900,6,900.0106465847192,0.020479578837374467
48000,900,7,900.0328283106948,0.06314716971900335
48000,900,8,899.998600841597,-0.0026914139447037013
48000,900,9,900.0080147604058,0.01541707147507929
48000,900,10,900.0231046391921,0.04444336070998864
48000,950,1,960.0,18.128270868250063
48000,950,2,950.120277474797,0.21917397803809002
48000,950,3,950.004761335132,0.008676805097812814
48000,950,4,950.047252859699,0.08610918441147614
48000,950,5,950.0027374494505,0.004988588282397829
48000,950,6,950.0328146666745,0.05979882854967581
48000,950,7,950.002402295721,0.004377821989301619
48000,950,8,950.0268938279727,0.04900931755264308
48000,950,9,950.002492481022,0.0045421708960460645
48000,950,10,950.0238246646882,0.04341637213455947
